act_pos0,act_pos1,act_pos2,act_torq0,act_torq1,act_torq2
-3,0,1,-15,-15,-15
-3,0,1,-49,-49,-49
-3,0,1,28,28,28
-3,0,1,-60,-60,-60
-3,0,1,-23,-23,-23
-3,0,2,10,10,10
-3,0,1,-7,-7,-7
-3,0,1,62,62,62
-3,0,1,3,3,3
-3,0,1,0,0,0
-3,0,1,-91,-91,-91
-3,0,1,24,24,24
-3,0,1,53,53,53
-3,0,1,2,2,2
-3,0,1,37,37,37
-4,0,1,26,26,26
-4,0,1,55,55,55
-3,0,0,36,36,36
-3,0,1,-109,-109,-109
-3,0,2,-25,-25,-25
-3,0,1,84,84,84
-3,0,1,-25,-25,-25
-3,0,1,-18,-18,-18
-3,0,1,-37,-37,-37
-3,0,1,-41,-41,-41
-3,0,1,-76,-76,-76
-2,0,2,-42,-42,-42
-3,0,1,-79,-79,-79
-3,0,1,-60,-60,-60
-3,0,1,-61,-61,-61
-3,0,1,-125,-125,-125
-3,0,1,-85,-85,-85
-3,0,1,-6,-6,-6
-3,0,1,19,19,19
-3,0,1,-1,-1,-1
-3,0,1,194,194,194
-3,0,1,102,102,102
-3,0,1,8,8,8
-3,0,1,45,45,45
-3,0,1,-90,-90,-90
-3,0,1,27,27,27
-3,0,1,48,48,48
-3,0,2,-52,-52,-52
-3,0,1,72,72,72
-2,0,1,49,49,49
-4,0,1,-17,-17,-17
-4,0,1,-44,-44,-44
-3,0,1,93,93,93
-3,0,1,134,134,134
-3,0,1,-69,-69,-69
-3,0,1,50,50,50
-3,0,1,24,24,24
-3,0,1,-50,-50,-50
-2,0,1,-87,-87,-87
-3,0,1,-30,-30,-30
-3,0,1,56,56,56
-3,0,1,83,83,83
-3,0,1,-92,-92,-92
-3,0,1,88,88,88
-3,0,2,17,17,17
-3,0,1,-32,-32,-32
-3,0,1,32,32,32
-3,0,1,81,81,81
-3,0,1,22,22,22
-3,0,1,0,0,0
-3,0,1,59,59,59
-3,0,1,68,68,68
-3,0,1,106,106,106
-3,0,1,50,50,50
-3,0,1,10,10,10
-3,0,1,-9,-9,-9
-3,0,1,10,10,10
-3,0,2,69,69,69
-3,0,1,-11,-11,-11
-3,0,1,-10,-10,-10
-3,0,1,84,84,84
-3,0,1,-35,-35,-35
-3,0,1,74,74,74
-3,0,2,-11,-11,-11
-3,0,1,46,46,46
-3,0,2,42,42,42
-3,0,1,1,1,1
-3,0,1,-20,-20,-20
-3,0,1,23,23,23
-3,0,1,34,34,34
-3,0,1,43,43,43
-3,0,1,122,122,122
-3,0,2,27,27,27
-3,0,1,-97,-97,-97
-3,0,1,-128,-128,-128
-3,0,1,64,64,64
-3,0,2,-102,-102,-102
-3,0,1,69,69,69
-3,0,1,56,56,56
-3,0,1,-10,-10,-10
-3,0,1,-4,-4,-4
-3,0,1,-17,-17,-17
-3,0,2,14,14,14
-3,0,1,-29,-29,-29
-3,0,1,36,36,36
-3,0,1,0,0,0
-3,0,1,-49,-49,-49
-3,0,1,-80,-80,-80
-3,0,1,47,47,47
-3,0,1,6,6,6
-3,0,1,77,77,77
-3,0,1,84,84,84
-3,0,1,55,55,55
-3,0,1,127,127,127
-3,0,2,0,0,0
-3,0,1,-37,-37,-37
-4,0,1,-15,-15,-15
